Report start year,100,Report stop year,299,(inclusive)
Government,Sink,StopC2,Market,BET,ASP,Reward,Ratio,Run,Expenditure,Income,Subsidy,Subsidy.Proportion,Bankruptcies,Land.Use.Change,Occupancy.LU.1,Occupancy.LU.2,Occupancy.LU.3,Occupancy.LU.4,Occupancy.LU.5,Occupancy.LU.6,Extinction.SPP.1,Extinction.SPP.2,Extinction.SPP.3,Extinction.SPP.4,Extinction.SPP.5,Extinction.SPP.6,Extinction.SPP.7,Extinction.SPP.8,Extinction.SPP.9,Extinction.SPP.10,Occupancy.SPP.1,Occupancy.SPP.2,Occupancy.SPP.3,Occupancy.SPP.4,Occupancy.SPP.5,Occupancy.SPP.6,Occupancy.SPP.7,Occupancy.SPP.8,Occupancy.SPP.9,Occupancy.SPP.10,Shannon,Equitability,Richness
RewardActivity,0,1,var2,25.0,1.0,15.0,1.0,1,775380,53.5326321264368,17.8248275862069,0.363005803269075,0,3.23232323232323e-05,43.1414141414141,162.929292929293,41.9292929292929,354,6,17,11,11,12,NA,NA,NA,NA,NA,NA,151,0,0,0,0.27728,0.88336,0.66624,0.58352,0.832,0.8248,0.00128,1.07467081974001,4.51263352999684e-07,6
RewardActivity,0,1,var2,25.0,1.0,15.0,1.0,2,774000,55.1467765058824,18.2117647058824,0.361480018502393,0,0,40,192,46,324,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43136,0.43072,0.424,0.3208,0.87696,0.61728,0.53232,0.84048,0.824,0.0096,1.47957346616722,0.0345481828464446,10
RewardActivity,0,1,var2,25.0,1.0,15.0,1.0,3,823500,56.8266904404762,19.6071428571429,0.367823850433786,0,0,39,235,21,314,2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46432,0.46256,0.45616,0.40256,0.9288,0.60096,0.50832,0.87648,0.87584,0.00656,1.52874610859661,0.0327565152338373,10
RewardActivity,0,1,var2,25.0,1.0,15.0,1.0,4,796500,58.278669864532,19.6182266009852,0.364030365388485,0,0,39,210,47,321,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,0.46944,0.46736,0.45904,0.35456,0.89824,0.60944,0.50176,0.8488,0.84688,0.00128,1.50040179840299,1.78570959941339e-06,9
RewardActivity,0,1,var2,25.0,1.0,15.0,1.0,5,769500,55.1135612735849,18.1485849056604,0.360088265770462,0,0,40,179,50,334,10,12,NA,9,11,NA,NA,NA,NA,NA,NA,NA,0.41536,0,0,0.2992,0.87184,0.62256,0.54736,0.83232,0.81872,0.012,1.19451237270944,9.19105212979989e-07,8
RewardActivity,0,1,var2,25.0,1.0,15.0,1.0,6,784500,53.9959672144522,18.2867132867133,0.36719130723635,0,0,52,159,26,364,12,12,10,13,11,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.28272,0.90832,0.69216,0.60176,0.8536,0.83344,0.01984,1.102494910098,5.88926426613535e-07,7
RewardActivity,0,1,var2,25.0,1.0,15.0,1.0,7,778500,54.486159028103,18.231850117096,0.363950726612523,0,0,51,173,39,346,6,10,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,0.41088,0.40896,0,0.31152,0.9,0.67488,0.5552,0.8352,0.8288,0.008,1.34581410317946,1.76973032604245e-06,9
RewardActivity,0,1,var2,25.0,1.0,15.0,1.0,8,798000,58.1986484766585,19.6068796068796,0.365381378229653,0,0,33,207,38,325,7,15,12,11,12,NA,NA,NA,NA,NA,NA,190,0,0,0,0.34512,0.89312,0.59968,0.5296,0.85888,0.8488,0.00448,1.07516413741776,4.48832855466568e-07,6
RewardActivity,0,1,var2,25.0,1.0,15.0,1.0,9,783000,52.6902028781038,17.6749435665914,0.367608376846288,0,0,37,156,44,366,6,16,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,0.37088,0.36896,0,0.25968,0.87968,0.68112,0.6008,0.84048,0.83264,0.00592,1.32116457871201,1.83131403539413e-06,9
RewardActivity,0,1,var2,25.0,1.0,15.0,1.0,10,829500,57.2684650719424,19.8920863309353,0.370379234035453,0,0,33,225,18,328,5,16,12,NA,19,NA,NA,NA,NA,NA,NA,147,0,0.4344,0,0.37616,0.92608,0.608,0.53456,0.88816,0.88224,0.00288,1.2400674318439,5.76700908297741e-07,7
