scenario,aic.gam,bic.gam,ssq.gam,edf.gam,smooth.gam.P,score.gam,dev.expl.gam,aic.gam.k,bic.gam.k,ssq.gam.k,edf.gam.k,smooth.gam.k.P,score.gam.k,dev.expl.gam.k,aic.gam.ml,bic.gam.ml,ssq.gam.ml,edf.gam.ml,smooth.gam.ml.P,score.gam.ml,dev.expl.gam.ml,aic.gam.klm,bic.gam.klm,ssq.gam.klm,edf.gam.klm,smooth.gam.klm.P,score.gam.klm,dev.expl.gam.klm,aic.gam.bs,bic.gam.bs,ssq.gam.bs,edf.gam.bs,smooth.gam.bs.P,score.gam.bs,dev.expl.gam.bs,aic.lm,bic.lm,ssq.lm,diff.gam.k,diff.gam.ml,diff.gam.klm,diff.gam.bs,diff.lm,anova.gam.k.P,anova.gam.ml.P,anova.gam.klm.P,anova.gam.bs.P,anova.lm.P
A/F/25/1,2965.84565928791,2995.57985562863,199.742206399781,6.49324419300968,3.67547368716277e-07,-0.950745921173343,0.679968705570879,2965.84565928791,2995.57985562863,199.742206399781,6.49324419300968,3.67547368716277e-07,-0.950745921173343,0.679968705570879,2969.96247908444,2979.12449297726,320.641811979414,2.00038346266031,1.14168426210888e-08,1482.98145887397,0.493418864765663,2967.79968217179,2984.80550670469,270.361368322532,3.71366927595174,7.0877824186304e-08,-0.948032000501295,0.572992267358072,1041.98383932283,1091.715329532,173.88718927585,9.86017951553652,0,0.248263203125682,0.718537421203982,1458.64616672112,1472.38392035715,317.011568228796,0,1284.34712078328,330.708384945569,277.237494763268,1357.19500026311,NA,0.0157438185225566,0.0481086731990887,NA,0
A/F/25/5,2852.10209062175,2896.53724045637,392.868899253152,9.70358422749989,6.50159077002422e-49,-0.889564394847871,0.830520766422021,2852.10209062175,2896.53724045637,392.868899253152,9.70358422749989,6.50159077002422e-49,-0.889564394847871,0.830520766422021,2854.24035777551,2898.51369143353,407.240624185458,9.10207792516161,2.2516780963208e-47,1437.82471810844,0.824292325292399,2916.47726904262,2934.68334200068,869.375641319526,3.97577510277504,4.93740278797514e-46,-0.800154424818883,0.616704418725687,1630.30231656021,1680.48101139465,393.564284049653,9.95783841315153,0,0.562056437796382,0.834646012677585,2837.26122055984,2850.99897419587,2150.98551760361,0,70.4390471651365,8297.55870395244,135.504940503333,24192.6451584838,NA,0.0727632928811618,1.77627841417238e-14,NA,0
A/F/30/1,2813.78202759643,2851.47254860661,407.697427844289,8.23071704634443,2.98922044280219e-62,-0.886163106690015,0.846940002994607,2813.78202759643,2851.47254860661,407.697427844289,8.23071704634443,2.98922044280219e-62,-0.886163106690015,0.846940002994607,2814.41887020817,2853.57332442165,407.674533432123,8.2319848945751,3.0106820415214e-62,1415.08057829944,0.846945924472207,2865.59306768517,2883.83260989268,824.492178267497,3.9830839940979,3.08832436302092e-63,-0.814203328788987,0.706019026921215,1681.65581312176,1729.03339014037,423.379072961245,9.34614062979336,0,0.603595022790815,0.848552493578297,2919.87694983055,2933.61470346658,2412.51599878012,0,5.94316079629142e-05,7292.85014477543,78.4907789097144,28486.5730635559,NA,0.00385672347188484,3.61640489056575e-12,NA,0
A/F/30/5,1973.07175569215,2013.5925574105,229.844008506998,9.55178433165274,2.6504030277833e-51,-0.87638359475891,0.876885605912249,1973.07175569215,2013.5925574105,229.844008506998,9.55178433165274,2.6504030277833e-51,-0.87638359475891,0.876885605912249,1974.34882747969,2014.49000833274,242.803685673275,9.0996280307403,6.89744889362118e-51,1000.92481856007,0.872851422068688,2058.6555195762,2075.48201832683,758.884033660968,3.96643403652304,1.26665388255326e-47,-0.709878217552598,0.608813217098249,1105.67258277939,1151.85022513579,247.919756641002,9.88524565230336,0,0.501435917513163,0.884665211681045,1918.69382432438,1931.42049412074,1243.3198877804,0,35.3809469328697,15547.1637614676,6042.92198795236,30151.0630439461,NA,0.092665712506508,6.37341536775364e-19,NA,0
A/V/25/1,2753.65737106945,2790.95441378303,979.4762030021,8.14479070634088,1.2914051675885e-137,-0.61803690495593,0.768176482253374,2753.65737106945,2790.95441378303,979.4762030021,8.14479070634088,1.2914051675885e-137,-0.61803690495593,0.768176482253374,2754.16032972082,2793.97635873897,976.58124280734,8.5236191033573,2.58033753572191e-135,1386.3526121047,0.768711603149868,2860.54760281377,2878.83710300904,1697.87026139578,3.99399363531207,1.97011480772835e-148,-0.469578249755482,0.664961511541103,2288.64092224907,2335.43252648119,984.031847818679,9.21817805264886,0,1.40239071456303,0.814758803734235,3274.21153787679,3287.94929151282,3946.39126732405,0,3.65197982271619,26797.7069391155,45.9035402403174,35818.1783627432,NA,0.174386029947643,7.46365916178528e-24,NA,0
A/V/25/5,2507.11883927286,2550.94046760097,157.440448955109,9.69056370224013,1.53892910119051e-86,-0.932079017146009,0.949230891477356,2507.11883927286,2550.94046760097,157.440448955109,9.69056370224013,1.53892910119051e-86,-0.932079017146009,0.949230891477356,2509.61578331454,2553.49715837135,168.00516099027,9.07702226067908,4.6507420905742e-84,1266.22399840282,0.944551711406236,2555.95025867893,2573.86228718843,503.355221816851,3.96100418743045,1.36429175015893e-86,-0.860268106254739,0.835040225738598,940.464443850376,990.117324362936,153.693039738478,9.98006669227389,0,0.232802514206321,0.94847273021102,2462.8382599533,2476.40453834781,1476.18033055233,0,64.7811350220968,2853.35317716853,35.6309560982518,20156.4226945797,NA,0.0620543362360108,2.78514371915872e-11,NA,0
A/V/30/1,2642.90544702712,2687.77747713353,605.738874289309,9.79898853085979,2.63589703761606e-113,-0.806635926956876,0.832708641488868,2642.90544702712,2687.77747713353,605.738874289309,9.79898853085979,2.63589703761606e-113,-0.806635926956876,0.832708641488868,2647.53660709498,2691.52982737193,614.078222167485,8.82196875653771,7.62911990688511e-109,1333.51987706321,0.825695315097027,2674.78308659331,2692.99548571043,814.485315587882,3.97715658607131,8.10259527859737e-117,-0.762361427559388,0.771845198423595,1895.34703660719,1945.53275613075,568.702769945078,9.95937243886863,0,0.812178378893321,0.850880089022527,2716.71428193188,2730.45203556791,1819.38733218122,0,198.452422799297,4102.25748130528,68.595329517439,26868.6589447616,NA,0.0242256084678605,7.54475051740147e-08,NA,0
A/V/30/5,2617.45500801032,2662.09336430497,455.663782465393,9.74795970519579,4.09630017070703e-101,-0.857257433215161,0.865009706048159,2617.45500801032,2662.09336430497,455.663782465393,9.74795970519579,4.09630017070703e-101,-0.857257433215161,0.865009706048159,2620.67902400097,2665.06153844171,462.016992293454,8.96600425949742,2.30206715281565e-97,1320.82037102119,0.859602627492002,2667.88176078985,2686.07959296575,779.939801376574,3.97397551114214,3.30391686673549e-101,-0.787220276576921,0.764552050640346,1694.31301645696,1744.49614454943,430.154989332268,9.95880653169852,0,0.614313912444384,0.870973938114426,2484.62068411419,2498.35843775022,1318.04238555115,0,85.4922153725309,6271.89528344661,22.8498012845769,10953.3173771311,NA,0.0481007249206649,1.33580883056113e-11,NA,0
CA/F/25/1,2435.4198784298,2457.643468108,251.209458471528,5.05434278481902,4.85025341323549e-16,-0.934677367914603,0.746766702048761,2435.4198784298,2457.643468108,251.209458471528,5.05434278481902,4.85025341323549e-16,-0.934677367914603,0.746766702048761,2438.01554687405,2457.15546399607,286.180551273988,3.70466143204011,1.02870783377302e-15,1219.00232344436,0.711954579275627,2438.73100677392,2453.93468451898,307.674634486606,3.45779417394709,7.94615008163273e-16,-0.929158820674403,0.690136393934399,1135.65399236952,1181.96366958856,225.135322697689,9.53227612229426,0,0.387438311322848,0.768312159000192,1455.69022706394,1468.88101602959,393.547970333382,0,163.079745449191,338.308194787608,391.487902786664,2168.14773176811,NA,0.0720573086856981,0.0249125949621095,NA,0
CA/F/25/5,2272.92720184327,2312.58078770033,319.483813245569,9.01847174425886,5.12871647601297e-106,-0.896518101823778,0.928815795864626,2272.92720184327,2312.58078770033,319.483813245569,9.01847174425886,5.12871647601297e-106,-0.896518101823778,0.928815795864626,2275.70462786832,2314.64013463613,334.944230717584,7.98216861643359,4.37512374169205e-107,1144.4960182297,0.923799937329323,2287.77610970407,2305.24103713477,456.304330780367,3.97207342400318,2.44134208774885e-109,-0.871769922055773,0.888512347469137,1334.42468252022,1381.78295463387,313.309398032542,9.77075955888122,0,0.539614027207913,0.922535603860373,2564.1215448296,2577.31233379525,2496.35886914378,0,66.579333221059,1396.90260285082,54.3452770898263,39085.7185740191,NA,0.0820899153796169,0.000149425955180429,NA,0
