"as.character.table.scenario.","Deviance","Test1","Test2","Test3","Test4","Test5"
"A/F/25/1",68,"*","-","-","-","-"
"A/F/25/5",83,"*","-","*","*","-"
"A/F/30/1",85,"*","-","*","*","*"
"A/F/30/5",88,"*","*","*","*","-"
"A/V/25/1",77,"*","*","*","*","*"
"A/V/25/5",95,"*","-","*","*","-"
"A/V/30/1",83,"*","-","*","*","*"
"A/V/30/5",87,"*","-","*","*","-"
"CA/F/25/1",75,"*","-","*","-","-"
"CA/F/25/5",93,"*","-","*","*","*"
"CA/F/30/1",93,"*","-","*","*","*"
"CA/F/30/5",77,"*","-","*","*","*"
"CA/V/25/1",82,"*","-","*","*","*"
"CA/V/25/5",80,"*","-","*","-","-"
"CA/V/30/1",86,"*","-","*","*","-"
"CA/V/30/5",88,"*","-","*","-","-"
"CO/F/25/1",71,"-","-","*","*","-"
"CO/F/25/5",80,"*","-","*","*","-"
"CO/F/30/1",96,"*","-","*","*","-"
"CO/F/30/5",90,"*","-","*","*","*"
"CO/V/25/1",84,"*","-","*","*","*"
"CO/V/25/5",86,"*","-","*","*","-"
"CO/V/30/1",89,"*","-","*","*","-"
"CO/V/30/5",76,"*","-","-","-","-"
"O/F/25/1",88,"-","-","-","-","-"
"O/F/25/5",1,"-","-","-","-","-"
"O/F/30/1",94,"*","*","*","*","-"
"O/F/30/5",93,"*","*","*","*","-"
"O/V/25/1",90,"*","*","*","*","*"
"O/V/25/5",86,"*","-","*","-","-"
"O/V/30/1",87,"*","-","*","-","-"
"O/V/30/5",89,"*","*","*","*","-"
